date,holiday_name,holiday_type,description
2026-10-11,First Day of Sharad Navratri,Observance,First Day of Sharad Navratri is a observance and Hindu holiday in India
2026-10-17,First Day of Durga Puja Festivities,Observance,First Day of Durga Puja Festivities is a observance and Hindu holiday in India
2026-10-18,Maha Saptami,Optional holiday,Maha Saptami is a restricted holiday in India
2026-10-19,Maha Ashtami,Optional holiday,Maha Ashtami is a restricted holiday in India
2026-10-20,Dussehra,National holiday,"Dussehra, also known as Vijaya Dashami, is an Indian festival that celebrates good forces over evil "
2026-10-26,Maharishi Valmiki Jayanti,Optional holiday,Maharishi Valmiki Jayanti is a restricted holiday in India
2026-10-29,Karaka Chaturthi,Hinduism,Karwa Chauth is an annual one-day festival that honors the Hindu god Shiva and goddess Parvati. It i
2026-10-31,Halloween,Observance,Halloween is a festive occasion that is celebrated in many countries on October 31 each year.
2026-11-08,Naraka Chaturdasi,Optional holiday,Naraka Chaturdasi is a restricted holiday in India
2026-11-08,Diwali/Deepavali,National holiday,Diwali is a festival of physical and spiritual light celebrated in October or November each year.
2026-11-09,Govardhan Puja,Optional holiday,Govardhan Puja is a restricted holiday in India
2026-11-11,Bhai Duj,Hinduism,Bhai Duj is a Hindu festival that celebrates the relationship between a brother and a sister on the 
2026-11-15,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Hinduism,Chhat Puja (Pratihar Sashthi/Surya Sashthi) is a restricted holiday in India
2026-11-24,Guru Tegh Bahadur's Martyrdom Day,Optional holiday,Guru Tegh Bahadur's Martyrdom Day is a restricted holiday in India
2026-11-24,Guru Nanak Jayanti,National holiday,Guru Nanak Jayanti is a gazetted holiday in India
2026-12-05,First Day of Hanukkah,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for 8 days between the 25t"
2026-12-12,Last day of Hanukkah,Observance,"Hanukkah, also known as Chanukah or the Festival of Lights, is celebrated for eight days between the"
2026-12-22,December Solstice,Season,December Solstice in India (New Delhi)
2026-12-23,Hazarat Ali's Birthday,Optional holiday,Hazarat Ali's Birthday is a restricted holiday in India
2026-12-24,Christmas Eve,Optional holiday,Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.
2026-12-25,Christmas,National holiday,"Many Christians celebrate Christmas Day, which is a gazetted holiday in India, on December 25 each y"
2026-12-31,New Year's Eve,Observance,"New Year's Eve is the last day of the year, December 31, in the Gregorian calendar."
